# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				21377.960000000003 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.689400e+02	-4.079743e+01	-4.079784e+01
-1.689200e+02	-4.081777e+01	-4.081560e+01
-1.689000e+02	-4.083507e+01	-4.083344e+01
-1.688800e+02	-4.085338e+01	-4.085080e+01
-1.688600e+02	-4.087068e+01	-4.086807e+01
-1.688400e+02	-4.088797e+01	-4.088528e+01
-1.688200e+02	-4.090323e+01	-4.090195e+01
-1.688000e+02	-4.092100e+01	-4.091796e+01
-1.687800e+02	-4.093627e+01	-4.093393e+01
-1.687600e+02	-4.094592e+01	-4.094942e+01
-1.687400e+02	-4.096222e+01	-4.096424e+01
-1.687200e+02	-4.097900e+01	-4.097936e+01
-1.687000e+02	-4.099630e+01	-4.099456e+01
-1.686800e+02	-4.101003e+01	-4.100984e+01
-1.686600e+02	-4.102427e+01	-4.102522e+01
-1.686400e+02	-4.104462e+01	-4.104087e+01
-1.686200e+02	-4.105580e+01	-4.105724e+01
-1.686000e+02	-4.106953e+01	-4.107382e+01
